id,Q01,Q02,Q03,Q04,Q05,Q06->Problem Understanding,Q06->Conceptual Understanding,Q06->Code Generation,Q06->Debugging,Q06->Runtime Analysis,Q06->Syntax,Q06->Documentation,Q06->Test Cases,Q6Add,Q7->1: Very Difficult ... 5: Very Easy,Q8->1: Not helped at all ... 5: Helped very well,Q9->1: Inadequate ... 5: Highly Adequate,Q10->1: Very Dissatisfied ... 5: Very Satisfied,Q11->1: Unlikely ... 5: Very Likely,Q12,Q13,Q14
0,3 : Moderate (1-2 Years),1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,0,1,1,1,0,0,1,1,"Englischen CV erstellen, Bewerbungsanschreiben aufsetzen, Texte zusammenfassen, Ideen generieren",4,3,3,2,2,"- wenn man verstanden hat was man coden möchte, weiß aber die schreibweise oder die Funktionen nicht, dann kann das programm einem helfen. zb man hat eine iterative funktion in pseudocode und möchte sie nun in echten code umwandeln.  - das programm kann auch helfen code effizienter zu machen in dem man zb list comprehension nutzt. das was für viele standart ist, ist für anfänger nicht immer direkt ersichtlich.  - mit ChatGpt hat man von der idee her jemanden der über die eigenen Arbeit drücker schauen kann wenn sonst niemand zeit hat oder man niemanden kennt der einem helfen kann. das klapp solange man den code von chatgpt nachvollziehen kann.","- Das Programm kann Fehler nicht korrigieren. Sehr oft kommt bei einer Rückfrage genau das gleiche Ergebnis raus, auch wenn man einen Fehler gefunden hatte und der wurde dann nicht korrigiert.  - Ich habe einmal nach Literaturempfehlungen gefragt. Heraus kamen glaubwürdig erscheinende Antworten, die aber völlig frei erfunden waren. Alles, von der DOI, dem Titel, Autor, Verlag, es war absolut alles erfunden oder einer existierenden Person dazugedichtet. Selbst zusammenfassungen der Artikel konnte ChatGPT mir ausgeben, den Abstract und forward- oder backward-citations. Leider alles Falsch!  - Einfache Programme kann Chatgpt noch coden, aber schwierigere Programme oder große inputs kann es nicht ""verstehen"" wie ein Mensch das kann. Besonders bei rekursion gibt es mir immer eine falsche antwort aus.","Man muss alles, wirklic alles gegenchecken. Das ist zeitintensiv und für Anfänger nicht so geeignet. die sind oft verleitet einfach die ganze aufgabenstellung in den prompt zu kopieren und die lösung ebenso zu kopieren. Da lernt man aber leider nicht wie man eine aufgabe coded. "
1,2 : Limited (<1 Year),2 : No,5 : Rarely,3 : 30-60 minutes,1 : Web Interface,0,0,0,1,0,1,0,0,,5,4,3,4,2,"Neue, bessere Ideen für die Umsetzung","Wenn man überhaupt keine Programmiererfahrung hat, sollte man sich nicht auf die KI verlassen, da der generierte Code nicht immer korrekt ist. Man sollte immer nachkontrollieren und auch fähig sein, den Algorithmus dann selbst auszubessern, weshalb es für Anfänger schwierig werden könnte.",
2,4 : Advanced (3+ Years),1 : Yes,2 : Daily,2 : 15-30 minutes,1 : Web Interface,1,1,1,1,0,0,1,1,,5,5,3,5,3,1) Gut um Problemstellungen zu verstehen  2) Einfach zu verwenden  3) Gut um Bugs zu finden,"1) 3.5 ist immer noch ziemlich dumm, 4 ist notwendig um sich auf Antworten verlassen zu können  2) Kann (insbesondere 3.5) Halluzinieren, kann gerade bei Aufgaben die man noch nicht ganz verstanden hat zur Verwirrung führen.  3) 4 ist teuer",
3,3 : Moderate (1-2 Years),1 : Yes,2 : Daily,1 : Less than 15 minutes,1 : Web Interface,1,1,1,0,0,0,0,0,"ChatGPT ersetzt inzwischen ""Googlen"" bzw. Suchen im Internet. ",4,5,5,3,1,"Man muss keine Webseiten mehr besuchen, irgendwelche Cookies akzeptieren / ablehnen, sich registrieren etc. Alle Fragen könnten auf ChatGPT geklärt werden    Fühlt sich wie eine private Nachhilfe an    Mehrsprachigkeit (ich kann zwischen meiner Muttersprache und anderen Sprachen wie Englisch &amp; Deutsch hin- und herwechseln. Das hilft mir sehr beim Verständnis.","ChatGPT vergisst die Anweisungen die erteilt wurden. Auch bei Custom Instructions werden diese Anweisungen öfters ignoriert und das ist sehr nervig.   (Anweisungen wie: Erwähne nie, dass du eine künstliche Intelligenz bist, schreib deine Antworten in Stichpunkten auf, agiere so als wärst du ein Dozent/Lehrer und versuch mir die Inhalte so zu vermitteln... Stattdessen werden ganze Essays geschrieben, er erwähnt bei medizinischen Angelegenheiten jedes Mal, dass er kein Arzt ist usw.)     ChatGPT ist nicht so eindeutig wie viele denken. (Meiner Meinung nach) benötigt es eine Struktur im Gespräch, damit die KI ""besser"" funktioniert als einen frisch begonnenen Chat.     Ich mache mir dauerhaft Gedanken darüber, ob meien Nachrichten von dritten Personen mitgelesen werden (werden sie wahrscheinlich) und habe immer eine innere Unruhe bei der Verwendung.  ","ChatGPT hat sich schnell in Schulen ausgebreitet und die Schüler benutzen dies inzwischen alltäglich.    Ich, als jemand der technologischen Fortschritt sehr unterstützt, finde diese Entwicklung sehr besorgniserregend. Das wird wahrscheinlich dazu führen, dass wir bestimmte Kompetenzen noch weniger erweitern werden als vorher, da unser Schulsystem so doer so nicht dazu bereit ist sich mit ChatGPT oder ähnlichem auseinanderzusetzen.    "
4,3 : Moderate (1-2 Years),1 : Yes,3 : Weekly,1 : Less than 15 minutes,1 : Web Interface,1,1,1,1,0,0,1,1,,3,4,2,3,5,"kleinere Syntax Fehler beheben. Zeit sparen für Kleinigkeiten, die sonst mühsam aus Stackoverflow rauszusuchen wären. Vorgehen wird teils gut erklärt. ","Oftmals ungenau, speziell GPT-3.5. Manchmal geht es sogar schneller, wenn man einfach selbst programmiert. Das Programm erkennt manchmal nicht seine eigenen Fehler und will sie mit Zwang durchsetzen. ",Oben wurde eigentlich schon alles genannt. 
5,4 : Advanced (3+ Years),1 : Yes,5 : Rarely,2 : 15-30 minutes,1 : Web Interface,0,0,1,1,0,0,0,0,,5,3,3,3,2,,,
6,3 : Moderate (1-2 Years),1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,0,0,1,1,0,1,0,0,,4,4,3,5,4,"ChatGPT kann einen sinnvollen Startpunkt liefern, an dem man dann versucht, den Code zu verbessern und die Aufgabe zu lösen. Grade, wenn man keine Idee hat, wie man an eine Aufgabe herangehen soll, hilft ChatGPT enorm.",Code kann natürlich falsch sein. Das muss man dann natürlich erst erkennen. ,
7,2 : Limited (<1 Year),1 : Yes,3 : Weekly,3 : 30-60 minutes,1 : Web Interface,1,1,0,0,0,1,1,0,,5,5,3,4,5,"- Wissen erweitern, da ChatGPT durch große Menge von Daten in zahlreichen Gebieten trainiert wird  - Leseverstehen in Fremdsprache verbessern  - Neue Idee erfahren  ",- Unklare Frageformulierung -&gt, Unklare Antworten  - Bei manchen Gebieten kann ChatGPT nur die oberflächlichen Inhalte  - Bei Programmierung kann der durch AI generierte Code nicht lauffähig sein  - Bei mathematischen Operationen liefert ChatGPT manchmal falsche Ergebnisse
8,2 : Limited (<1 Year),1 : Yes,2 : Daily,1 : Less than 15 minutes,1 : Web Interface,1,1,1,0,0,1,1,1,Sehr kleinteilige Erklärung des Codes.  ,4,4,3,4,5,"- Probleme, die ich nicht verstanden habe kann ich von ChatGpt auf kleinste Teile herunter brechen lassen und mir einzelne Teile erklären lassen     - ich brauche nicht selbst lange im Web suchen, sondern kann mir Hilfestellungen suchen lassen    - Code kann ich mir Zeile für Zeile erklären lassen. Vorher habe ich mich mit einem erfahreneren Kommilitonen treffen müssen, der mit Teile erklärt     - einfache Bedienung, durch einen entsprangen Chat, wie mit einem Freund    - Code erstellen lassen ","- man kann sich nicht immer auf die Ausgabe verlassen. Besonders bei anspruchsvolleren Aufgaben. Das nimmt ein wenig die Legitimität und lässt mich oftmals selbst nochmal nachrechnen oder nachdenken.     - eingeschränkte Möglichkeit der Darstellung von Bildern     - auch bei Nachfrage ob ChatGpt sich sicher ist mit einem Ergebnis sagt es entweder, dass er sich sicher ist oder korrigiert das Ergebnis, aber auch auf dieses Ergebnis kann man sich nicht verlassen","Ich benutze ChatGPT sehr gerne, bis es zu einem gewissen Grad an Schwierigkeit kommt. Dann finde ich es sehr schwierig weiter mit ChatGPT zu arbeiten. Ab diesem Zeitpunkt macht es dann eher umständlich damit zu arbeiten. Auch bei größeren Code oder schwierigeren Matheaufgaben, die viel Text beinhalten, kann man sich nicht auf die Ausgabe verlassen. "
9,1 : None,2 : No,1 : Never,1 : Less than 15 minutes,1 : Web Interface,0,0,1,0,0,0,1,1,,4,4,4,4,4,Ich empfand die Möglichkeit Unklarheiten mit einer kleinen Nachfrage direkt beseitigen zu können als sehr hilfreich. ,,
