id,code,task,problem
0,"x = input (""gebe bitte deine Bankleitzahl und Kontonummer ein"") #X ist unsere Variabel und mit Befehl Input wird dem Nutzer/Kunde angzeigt, dass man seine Kontodaten angeben soll.
y = str(131400) 
print(int(x+y))
ver = (int(x+y)) % 97 
iban= 98 - ver
if iban > 10:
     print(""Ihre iban ist DE"" , iban, x)
else:
     print(""Ihre iban ist DE"" , 0, iban, x)",0,"0. Unclarified input. 
1. Input Account number has to be filled with zeros."
1,"Python 3.7.3 (v3.7.3:ef4ec6ed12, Mar 25 2019, 21:26:53) [MSC v.1916 32 bit (Intel)] on win32
Type ""help"", ""copyright"", ""credits"" or ""license()"" for more information.
>>> Bankleitzahl = input(""Bitte geben sie Ihre Bankleitzahl ein: ""); B = str(Bankleitzahl)
Bitte geben sie Ihre Bankleitzahl ein: 12345678
>>> Kontonummer = input(""Bitte geben sie Ihre Kontonummer ein: ""); K = str(Kontonummer)
Bitte geben sie Ihre Kontonummer ein: 1234567890
>>> IBAN = str(B)+str(K)+str(131400)
>>> PR = int(IBAN) % 97
>>> print(""Ihre Pruefzahl ist:"",PR)
Ihre Pruefzahl ist: 11
>>> print(""Ihre IBAN lautet:"",""DE"",PR,B,K)
Ihre IBAN lautet: DE 11 12345678 1234567890
>>> 
",0,"0. Code does not run. 
1. Is copied from IDLE interpreter (not a valid .py file).
2. Check digit is incorrect."
2,"import re

#Input
number_1 = input(""Geben Sie bitte eine Bankleitzahl ein. [8-stelliege Nummer. Bitte nur 0-9 eingeben!] "")

if len(number_1) != 8 or not re.search(r""[0-9]{8,8}"", number_1): #hier werden die Fehler abgefanfen, Anzahl der Zeichnen und ob die Zeichen nur aus Ziffern bestehen
    print(""Ihre Zahl ist nicht 8-stellig oder Sie haben keine Zahlen eingegeben. Bitte starten Sie das Programm von forne an!"")
    exit()
else:
    number_2 = input(""Geben Sie bitte eine Kontonummer ein. [10-stelliege Nummer. Bitte nur 0-9 eingeben!] "")
    if len(number_2) != 10 or not re.search(r""[0-9]{10,10}"", number_2):
        print(""Ihre Zahl ist nicht 10-stellig oder Sie haben keine Zahlen eingegeben.. Bitte starten Sie das Programm von forne an!"")
        exit()
        
#Programm
number = list(number_1) + list(number_2)

iban = '' #Ein passende string f�r den output erstellen
for i in number:
  iban += str(i)
iban = 'DE00' + iban

d = '13' #d und e codieren
e = '14'
number.insert(0,d)
number.insert(1,e)
number.insert(2,0)
number.insert(3,0)


k = 4 #Umstellung
new_number =(number[k:len(number)]+ number[0:k])

s = """" #Eine Liste in eine Dezimalzahl umwandeln
for nr in new_number:
  s += str(nr)

n = int(s)


m = n % 97 #Modulo 97 berechnen
z = 98 - m  

#Output
print(f""Danke f�r Ihre Angaben. IBAN lautet {iban}\n Die Pr�fziffer ist {z}"")

#Test

#12345678, 1122334455 -> 37 (soll 37)
#11111111, 2222222222 -> 16 (soll 16)
#21050170, 0012345678 -> 68 (soll 68)

",0,0. Resulting IBAN returns with 00 instead of check digit.
3,"#iBan Nummer f�r den Versuch: DE500502011204103419
ibannummer=input ('Geben Sie Ihre iBan Nummer ein')
if 'DE' in ibannummer:  #wenn die iBan Nummer deutsch ist
    bankleitzahl=ibannummer[4:12]  #Bankleitzahl zb. 70090100
    kontonummer=ibannummer [12:]   #Kontonummer zb. 1234567123
    bban=bankleitzahl+kontonummer  # bban 700901001234567123
    laenderkennung='1314' #denn D wird ersetzt durch 13 und E wird ersetzt durch 14
    laenderkennung_ergaenzt='131400' #die Laenderkennung wird druch zwei Nullen erg�nzt
    pruefsumme=bban+laenderkennung_ergaenzt #pr�fsumme
    pruefsumme_modulo=int(pruefsumme)%97 #pr�fsumme modulo
    pruefungsziffer=98-pruefsumme_modulo
    if pruefungsziffer>9:   # wenn die pr�fungsziffer gr��er als 9 ist muss die pr�fsumme von der 98 subtrahiert werden
        pruefungsziffer=98-pruefsumme_modulo
    else:
        pruefungsziffer=98-pruefsumme_modulo #pr�fungsziffer wird berechnet
        pruefungsziffer=str(pruefungsziffer).zfill(2)
        print('Ihre Pruefziffer lautet:', pruefungsziffer) #pr�fungsziffer herausgeben
        pruefung=bban+laenderkennung#pruefungsziffer
        if int(pruefung)%97==1:  #prozess der Validierung
            print('Ihre iBan Nummer ist g�ltig') #herausgeben, dass die iBan g�ltig ist",0,"0. Input requests full IBAN.
1. If check digit is > 9, nothing is printed."
4,"#Input

Bankleitzahl = eval(input(""Bitte hier Bankleitzahl eingeben: ""))

Kontonummer = eval(input(""Bitte hier Kontonummer eingeben: ""))

#Process
tempIBAN = int(str(Bankleitzahl)+ str(Kontonummer)+ ""131400"")
print(tempIBAN)

Pruefsumme = 98 - (tempIBAN % 97)
print(Pruefsumme)

#Output
IBAN = ""DE"" + str(Pruefsumme)+ str(Bankleitzahl)+ str(Kontonummer)
print(IBAN)

if len(IBAN)!= 22:
    print(""IBAN ungueltig!"")
else:
    print(""IBAN gueltig!"")",0,"0. Account number is not filled with zeros.
1. Cannot enter account number with leading zeros."
5,"#Input: Als erstes wird ein Jahr eingegeben. Zunaechst wird dies auf integer umgewandelt.

JAHR = int(input(""Bitte geben Sie ein beliebiges Jahr ein (Bem.: nicht frueher als 1582):"" ))

#Prozess: zur Festellung ob es sich um ein Schaltjahr handelt,
#wird das eingegebene Jahr durch 4 Bedingungen geprueft werden.

if JAHR < 1582:
    print(""Error. Bitte das Jahr ab 1582 eingeben"")

elif JAHR % 100 == 0:
    print(""Das Jahr"", JAHR,  ""ist kein Schaltjahr"")
elif JAHR % 4 == 0:
    print(""Das Jahr"", JAHR, ""ist ein Schaltjahr"")
else:
    print(""Das Jahr"", JAHR, ""ist kein Schaltjahr"")

#Ausgabe: gemaess der erfuellten Bedingung wird entsprechende Aussage ausgedrueckt. ",1,0. Leap years modulo 400 are not identified.
6,"Jahr=int(input('F�r welches Jahr interessieren Sie sich?'))
Schaltjahr=False
if Jahr%4==0:
    if Jahr%100!=0:
        Schaltjahr=True
    elif Jahr%4000:
            Schaltjahr=True

if Schaltjahr==False:
    print('Das Jahr '+str(Jahr) +' ist kein Schaltjahr')
else:
    print('Das Jahr '+str(Jahr) +' ist ein Schaltjahr')",1,0. All centuries are wrongly identified as leap years. 'Jahr%4000’ is true for every year <4000.
7,"Jahr= int(input(""Bitte Geben sie ein beliebiges Jahr ein: ""))

if Jahr%4==0:
    print(""Das Jahr""+str(Jahr)+"" ist ein Schaltjahr"")
elif Jahr%100!=0:
    print(""Das Jahr ""+str(Jahr)+"" ist kein Schaltjahr"")
elif Jahr%400==0:
    print(""Das jahr""+str(Jahr)+"" ist ein Schaltjahr"")",1,0. Wrong condition order. Every year mod 4 is wrongly printed as leap year.
8,"#input
jahr= int ( input ( ""Bitte geben Sie ein Jahr ein :""))
#process&output
if jahr in range ( 1900, 2196, 4):
   print (""Das Jahr "", jahr ,"" ist ein Schaltjahr!"")
   
else : 
    print (""Das Jahr"" , jahr , ""ist kein Schaltjahr!!"")",1,0. Only calculates years from 1900 to 2195.
9,"x = 2024

'''
Eingabe eines Jahres (x)

�berpr�fen, ob x ein Schaltjahr ist, indem man es durch die Schaltjahresregeln f�hrt

'''

if x % 4 == 0:
    print(""{0} ist ein Schaljahr"".format(x))
    # durch 4 ganzzahlig teilbar
elif x % 400 == 0:
    print(""{0} ist ein Schaltjahr"".format(x))
    # S�kularjahre, die durch 400 ganzzahlig teilbar sind
elif x % 100 == 0:
    print(""{0} ist kein Schaltjahr"".format(x))
    # die Jahre die ein Jahrhundret abschlie�en
else:
    print(""{0} ist kein Schaltjahr"".format(x))
     # {} verwendet man um Dictionary zu definieren
     # es enth�lt eine Sammlung, die ver�nderbar ist",1,"0. Wrong condition order.
1. No input possible."
